# time  ID  size  fromHost  toHost  TTL  isResponse
0.0098 M1 1484638 dtn2_13 ADB2 140 N 
1.3461 M2 2144201 dtn1_10 ADB2 140 N 
2.4644 M3 1829931 dtn1_6 ADB2 140 N 
2.6781 M4 1468122 dtn1_9 ADB2 140 N 
8.0180 M5 1295971 dtn1_9 ADB2 140 N 
9.8300 M6 2300554 dtn2_13 ADB2 140 N 
13.1736 M7 2006241 dtn1_7 ADB2 140 N 
19.3675 M8 1661032 dtn1_9 ADB2 140 N 
23.1309 M9 1666703 dtn2_14 ADB2 140 N 
23.7422 M10 2027347 dtn1_6 ADB2 140 N 
25.0808 M11 2269587 dtn1_9 ADB2 140 N 
27.9174 M12 1087686 dtn1_7 ADB2 140 N 
28.0097 M13 1367273 dtn1_7 ADB2 140 N 
28.7716 M14 2228040 dtn1_7 ADB2 140 N 
29.5030 M15 1380680 dtn1_9 ADB2 140 N 
31.4082 M16 1045086 dtn2_13 ADB2 140 N 
33.3279 M17 1722848 dtn2_15 ADB2 140 N 
33.4838 M18 2211571 dtn2_13 ADB2 140 N 
35.6077 M19 1530271 dtn1_7 ADB2 140 N 
36.5077 M20 1991397 dtn1_8 ADB2 140 N 
36.9659 M21 1294029 dtn2_14 ADB2 140 N 
37.2041 M22 2626902 dtn2_12 ADB2 140 N 
39.8819 M23 1348700 dtn1_9 ADB2 140 N 
40.1689 M24 2140222 dtn1_6 ADB2 140 N 
43.5514 M25 2451216 dtn2_15 ADB2 140 N 
44.2562 M26 1995680 dtn1_6 ADB2 140 N 
44.8958 M27 1885202 dtn1_7 ADB2 140 N 
47.4891 M28 2519301 dtn2_11 ADB2 140 N 
49.9076 M29 2503373 dtn2_12 ADB2 140 N 
51.5406 M30 1733640 dtn1_6 ADB2 140 N 
52.5141 M31 2464884 dtn1_10 ADB2 140 N 
54.4647 M32 1559729 dtn1_8 ADB2 140 N 
57.0116 M33 1370826 dtn2_13 ADB2 140 N 
60.3984 M34 2472383 dtn1_7 ADB2 140 N 
60.6065 M35 2600773 dtn1_6 ADB2 140 N 
61.1890 M36 1707738 dtn1_10 ADB2 140 N 
61.4972 M37 2777199 dtn2_14 ADB2 140 N 
63.3467 M38 1417990 dtn1_6 ADB2 140 N 
67.4116 M39 2388064 dtn2_11 ADB2 140 N 
68.3512 M40 1678625 dtn1_10 ADB2 140 N 
68.9622 M41 2270945 dtn2_13 ADB2 140 N 
71.6975 M42 1963752 dtn1_7 ADB2 140 N 
73.7106 M43 1921516 dtn2_14 ADB2 140 N 
75.2876 M44 1729461 dtn1_10 ADB2 140 N 
76.9826 M45 1388356 dtn2_12 ADB2 140 N 
77.9171 M46 2045451 dtn1_8 ADB2 140 N 
82.5700 M47 1529000 dtn1_7 ADB2 140 N 
83.1613 M48 2112761 dtn1_10 ADB2 140 N 
86.0217 M49 1156756 dtn2_13 ADB2 140 N 
89.3030 M50 1778216 dtn2_14 ADB2 140 N 
92.0509 M51 2542038 dtn1_6 ADB2 140 N 
93.9655 M52 2483915 dtn1_8 ADB2 140 N 
96.7967 M53 2183464 dtn2_11 ADB2 140 N 
97.7075 M54 2201506 dtn1_7 ADB2 140 N 
98.5203 M55 2996688 dtn1_7 ADB2 140 N 
99.4648 M56 2389225 dtn2_14 ADB2 140 N 
101.9295 M57 1941579 dtn2_13 ADB2 140 N 
102.3147 M58 2811066 dtn1_7 ADB2 140 N 
104.1933 M59 2163117 dtn2_13 ADB2 140 N 
104.4606 N1 1000000 ADB2 dtn2_14 140 N 
105.9097 M60 1006581 dtn2_13 ADB2 140 N 
106.0770 M61 1510399 dtn2_14 ADB2 140 N 
107.5087 M62 1320680 dtn1_7 ADB2 140 N 
109.5702 M63 1440661 dtn1_8 ADB2 140 N 
109.9146 M64 1384863 dtn2_13 ADB2 140 N 
110.2844 M65 2037079 dtn1_9 ADB2 140 N 
110.5069 M66 1667533 dtn2_13 ADB2 140 N 
112.7890 M67 1675185 dtn2_12 ADB2 140 N 
116.8384 M68 1297770 dtn1_6 ADB2 140 N 
120.4278 M69 2532856 dtn2_13 ADB2 140 N 
125.7690 M70 2870477 dtn2_15 ADB2 140 N 
136.2815 M71 2284336 dtn2_12 ADB2 140 N 
136.8192 M72 2453264 dtn2_13 ADB2 140 N 
139.0687 M73 1468340 dtn1_10 ADB2 140 N 
142.6715 M74 1183682 dtn1_7 ADB2 140 N 
145.6508 M75 1618175 dtn2_14 ADB2 140 N 
146.4091 M76 2601479 dtn2_14 ADB2 140 N 
146.4719 M77 1030476 dtn2_13 ADB2 140 N 
148.8828 M78 2749524 dtn1_6 ADB2 140 N 
149.4675 M79 1720977 dtn1_6 ADB2 140 N 
151.2663 M80 1999278 dtn2_15 ADB2 140 N 
151.2781 M81 1975369 dtn1_6 ADB2 140 N 
151.4198 M82 2586604 dtn2_15 ADB2 140 N 
152.6597 M83 2745934 dtn2_14 ADB2 140 N 
152.8254 M84 1570569 dtn2_14 ADB2 140 N 
152.8564 M85 2846462 dtn1_8 ADB2 140 N 
156.8524 M86 1826254 dtn1_6 ADB2 140 N 
157.2191 M87 1628836 dtn1_8 ADB2 140 N 
159.1123 M88 1828271 dtn1_10 ADB2 140 N 
162.0163 M89 2216229 dtn1_10 ADB2 140 N 
172.7426 M90 2221262 dtn2_15 ADB2 140 N 
175.4165 M91 2149807 dtn1_8 ADB2 140 N 
177.3235 M92 2049614 dtn2_15 ADB2 140 N 
178.1201 M93 2362524 dtn2_15 ADB2 140 N 
180.0367 M94 1716388 dtn2_15 ADB2 140 N 
181.5535 M95 1769870 dtn1_10 ADB2 140 N 
183.1600 M96 2066893 dtn1_9 ADB2 140 N 
187.7638 M97 1022530 dtn2_12 ADB2 140 N 
188.4440 M98 2914657 dtn1_7 ADB2 140 N 
188.9567 M99 2266315 dtn1_7 ADB2 140 N 
189.1023 M100 2916248 dtn1_6 ADB2 140 N 
190.3766 M101 1386747 dtn2_14 ADB2 140 N 
191.7993 M102 1824523 dtn2_12 ADB2 140 N 
193.6067 M103 2098670 dtn1_7 ADB2 140 N 
193.9069 M104 1957377 dtn2_15 ADB2 140 N 
195.5631 M105 2417477 dtn2_15 ADB2 140 N 
198.1203 M106 1877580 dtn2_14 ADB2 140 N 
201.7862 M107 1626408 dtn1_8 ADB2 140 N 
203.6482 M108 2987978 dtn2_14 ADB2 140 N 
206.0687 M109 2444285 dtn2_13 ADB2 140 N 
208.5439 M110 1591502 dtn2_13 ADB2 140 N 
208.9119 M111 1619743 dtn2_12 ADB2 140 N 
209.2200 M112 1077575 dtn1_6 ADB2 140 N 
212.4451 M113 2440506 dtn2_13 ADB2 140 N 
212.5661 M114 1422507 dtn2_15 ADB2 140 N 
215.1777 M115 1667043 dtn1_7 ADB2 140 N 
217.6045 M116 1870121 dtn1_9 ADB2 140 N 
219.3803 M117 1357260 dtn2_11 ADB2 140 N 
219.7053 M118 1469448 dtn2_13 ADB2 140 N 
221.8960 M119 1116020 dtn2_15 ADB2 140 N 
223.6261 M120 2838494 dtn2_12 ADB2 140 N 
224.5443 M121 1353946 dtn2_11 ADB2 140 N 
225.9850 M122 2474057 dtn2_12 ADB2 140 N 
226.4129 M123 1299189 dtn2_15 ADB2 140 N 
227.0415 M124 2719389 dtn2_14 ADB2 140 N 
229.5987 M125 1350687 dtn1_7 ADB2 140 N 
229.8655 M126 2919015 dtn2_12 ADB2 140 N 
230.9277 M127 1563385 dtn1_8 ADB2 140 N 
233.9101 M128 1866374 dtn2_12 ADB2 140 N 
237.1178 N2 1000000 ADB2 dtn2_13 140 N 
240.0437 M129 2802760 dtn1_8 ADB2 140 N 
240.4396 M130 1311974 dtn2_11 ADB2 140 N 
240.9247 M131 1727857 dtn1_7 ADB2 140 N 
241.5525 M132 2899694 dtn1_8 ADB2 140 N 
243.1961 M133 1400307 dtn2_14 ADB2 140 N 
244.8881 M134 2263147 dtn1_6 ADB2 140 N 
245.3921 M135 2327479 dtn1_8 ADB2 140 N 
245.5161 M136 2846401 dtn2_13 ADB2 140 N 
248.9536 M137 1906766 dtn1_8 ADB2 140 N 
249.2433 M138 2912498 dtn2_13 ADB2 140 N 
251.3075 M139 1430082 dtn2_12 ADB2 140 N 
251.8634 M140 2647816 dtn1_7 ADB2 140 N 
255.2170 M141 1968721 dtn1_6 ADB2 140 N 
255.7350 M142 1253029 dtn2_15 ADB2 140 N 
255.7540 M143 1251567 dtn2_11 ADB2 140 N 
256.2930 M144 1064851 dtn2_11 ADB2 140 N 
262.9452 M145 2424739 dtn2_11 ADB2 140 N 
266.5838 M146 1109072 dtn2_15 ADB2 140 N 
268.9387 M147 1839088 dtn2_13 ADB2 140 N 
271.1519 M148 2387512 dtn2_12 ADB2 140 N 
274.1730 M149 2181262 dtn1_8 ADB2 140 N 
280.0667 M150 2322553 dtn1_9 ADB2 140 N 
280.9107 M151 2167772 dtn1_8 ADB2 140 N 
281.9150 M152 1826370 dtn1_10 ADB2 140 N 
284.5905 M153 2101798 dtn1_10 ADB2 140 N 
284.8916 M154 2091925 dtn2_15 ADB2 140 N 
285.1339 M155 2972891 dtn1_8 ADB2 140 N 
285.6784 M156 1553518 dtn1_10 ADB2 140 N 
287.4996 M157 1284100 dtn1_7 ADB2 140 N 
287.9157 M158 1182174 dtn1_6 ADB2 140 N 
288.1978 M159 1668212 dtn2_13 ADB2 140 N 
289.2048 M160 2024342 dtn2_14 ADB2 140 N 
290.5244 M161 2348451 dtn1_8 ADB2 140 N 
294.0604 M162 2103880 dtn2_12 ADB2 140 N 
294.1733 M163 2656381 dtn1_8 ADB2 140 N 
304.2893 M164 2114169 dtn2_13 ADB2 140 N 
306.4565 M165 2172636 dtn2_15 ADB2 140 N 
312.4583 M166 1249177 dtn2_15 ADB2 140 N 
314.4817 M167 1217958 dtn1_10 ADB2 140 N 
316.2720 M168 2012443 dtn2_13 ADB2 140 N 
318.1165 M169 1405196 dtn2_11 ADB2 140 N 
318.9932 M170 1337760 dtn1_8 ADB2 140 N 
321.9504 M171 2883370 dtn1_7 ADB2 140 N 
322.9728 M172 2860878 dtn2_11 ADB2 140 N 
327.3033 M173 2838599 dtn2_12 ADB2 140 N 
328.1468 M174 2307078 dtn1_10 ADB2 140 N 
335.4633 M175 2516636 dtn1_9 ADB2 140 N 
337.2103 M176 1265115 dtn1_6 ADB2 140 N 
339.1410 M177 1623359 dtn2_11 ADB2 140 N 
339.7231 M178 1293385 dtn2_15 ADB2 140 N 
343.3752 M179 2934226 dtn1_6 ADB2 140 N 
345.2362 M180 2287682 dtn2_12 ADB2 140 N 
347.5563 M181 1857726 dtn1_10 ADB2 140 N 
348.6798 M182 1522000 dtn2_11 ADB2 140 N 
348.9940 M183 1650680 dtn1_7 ADB2 140 N 
350.9748 M184 1939621 dtn2_14 ADB2 140 N 
351.3443 N3 1000000 ADB2 dtn2_15 140 N 
355.3543 M185 2204869 dtn2_13 ADB2 140 N 
355.8625 M186 2908064 dtn1_7 ADB2 140 N 
356.2307 M187 1243196 dtn1_7 ADB2 140 N 
359.2229 M188 1027788 dtn1_8 ADB2 140 N 
366.3287 M189 2977224 dtn2_12 ADB2 140 N 
368.9681 M190 1878324 dtn2_12 ADB2 140 N 
369.4910 M191 1715610 dtn2_14 ADB2 140 N 
371.4227 M192 1663690 dtn2_15 ADB2 140 N 
371.9533 M193 2653328 dtn1_9 ADB2 140 N 
374.5728 M194 2549490 dtn2_11 ADB2 140 N 
376.2287 M195 2965963 dtn2_15 ADB2 140 N 
378.1292 M196 1807429 dtn2_14 ADB2 140 N 
378.8918 M197 1666611 dtn1_7 ADB2 140 N 
379.9908 M198 2189890 dtn1_6 ADB2 140 N 
382.5010 M199 2795095 dtn1_7 ADB2 140 N 
382.5869 M200 2219739 dtn1_7 ADB2 140 N 
383.8890 M201 1072058 dtn2_11 ADB2 140 N 
384.7441 M202 1610562 dtn2_15 ADB2 140 N 
385.6464 M203 2744252 dtn2_14 ADB2 140 N 
387.1619 M204 1761960 dtn2_15 ADB2 140 N 
389.8047 M205 2564568 dtn2_14 ADB2 140 N 
394.9334 M206 2757661 dtn1_10 ADB2 140 N 
395.2358 M207 2051649 dtn1_10 ADB2 140 N 
397.8965 M208 2788589 dtn2_15 ADB2 140 N 
402.4905 M209 2675404 dtn2_15 ADB2 140 N 
403.3603 M210 2514049 dtn2_11 ADB2 140 N 
405.7906 M211 1157732 dtn2_13 ADB2 140 N 
406.0301 M212 1165139 dtn1_10 ADB2 140 N 
408.1279 M213 2082907 dtn1_8 ADB2 140 N 
408.1463 M214 2295734 dtn2_13 ADB2 140 N 
410.8569 M215 2568421 dtn1_8 ADB2 140 N 
417.3436 M216 2739285 dtn2_15 ADB2 140 N 
418.7336 M217 2431603 dtn1_8 ADB2 140 N 
419.1907 M218 1755220 dtn1_10 ADB2 140 N 
420.4048 M219 2525429 dtn1_7 ADB2 140 N 
420.7183 M220 2026052 dtn1_9 ADB2 140 N 
421.2991 M221 2152679 dtn2_14 ADB2 140 N 
421.6822 M222 2766358 dtn2_13 ADB2 140 N 
422.6766 M223 1558919 dtn1_9 ADB2 140 N 
424.1333 M224 1854957 dtn2_13 ADB2 140 N 
424.2055 M225 1398346 dtn2_11 ADB2 140 N 
426.6588 M226 1110098 dtn2_12 ADB2 140 N 
429.4753 M227 2167481 dtn2_13 ADB2 140 N 
432.3558 M228 1282141 dtn2_12 ADB2 140 N 
435.8483 M229 2015476 dtn1_8 ADB2 140 N 
439.9922 M230 1426578 dtn2_14 ADB2 140 N 
441.2557 M231 1164855 dtn2_11 ADB2 140 N 
451.1853 M232 1541014 dtn2_12 ADB2 140 N 
452.7115 M233 2318459 dtn2_12 ADB2 140 N 
454.4497 M234 1107365 dtn1_9 ADB2 140 N 
455.3576 M235 2079901 dtn1_10 ADB2 140 N 
455.7961 M236 2307386 dtn2_11 ADB2 140 N 
460.0346 M237 2488860 dtn2_14 ADB2 140 N 
460.5003 M238 1398394 dtn2_12 ADB2 140 N 
462.2051 M239 1767122 dtn2_11 ADB2 140 N 
464.8580 M240 1004630 dtn2_15 ADB2 140 N 
466.7061 M241 2535256 dtn1_9 ADB2 140 N 
467.0018 M242 2640710 dtn2_13 ADB2 140 N 
467.8028 M243 2206440 dtn1_8 ADB2 140 N 
468.5773 M244 1919148 dtn1_9 ADB2 140 N 
468.6192 M245 1340578 dtn1_6 ADB2 140 N 
471.4588 M246 2873085 dtn2_12 ADB2 140 N 
471.5739 M247 1002540 dtn2_11 ADB2 140 N 
