# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
10.0000 M2 2144201 1 8.6539 dtn1_10 ADB2 139 N dtn1_10->ADB2
16.0000 M4 1468122 1 13.3219 dtn1_9 ADB2 139 N dtn1_9->ADB2
21.2000 M5 1295971 1 13.1820 dtn1_9 ADB2 139 N dtn1_9->ADB2
27.9000 M8 1661032 1 8.5325 dtn1_9 ADB2 139 N dtn1_9->ADB2
37.0000 M11 2269587 1 11.9192 dtn1_9 ADB2 139 N dtn1_9->ADB2
42.6000 M15 1380680 1 13.0970 dtn1_9 ADB2 139 N dtn1_9->ADB2
48.0000 M23 1348700 1 8.1181 dtn1_9 ADB2 139 N dtn1_9->ADB2
56.1000 M7 2006241 2 42.9264 dtn1_7 ADB2 139 N dtn1_7->dtn1_8->ADB2
62.4000 M32 1559729 1 7.9353 dtn1_8 ADB2 139 N dtn1_8->ADB2
63.1000 M1 1484638 6 63.0902 dtn2_13 ADB2 138 N dtn2_13->dtn2_12->dtn2_14->ADB3->WIFI_5->WIFI_4->ADB2
63.6000 M16 1045086 4 32.1918 dtn2_13 ADB2 139 N dtn2_13->ADB3->WIFI_5->WIFI_4->ADB2
64.5000 M18 2211571 4 31.0162 dtn2_13 ADB2 139 N dtn2_13->ADB3->WIFI_5->WIFI_4->ADB2
74.5000 M24 2140222 1 34.3311 dtn1_6 ADB2 139 N dtn1_6->ADB2
82.7000 M10 2027347 1 58.9578 dtn1_6 ADB2 139 N dtn1_6->ADB2
90.1000 M3 1829931 1 87.6356 dtn1_6 ADB2 138 N dtn1_6->ADB2
95.6000 M13 1367273 2 67.5903 dtn1_7 ADB2 138 N dtn1_7->dtn1_6->ADB2
106.0770 M35 2600773 1 45.4705 dtn1_6 ADB2 139 N dtn1_6->ADB2
115.0000 M14 2228040 2 86.2284 dtn1_7 ADB2 138 N dtn1_7->dtn1_6->ADB2
123.0000 M26 1995680 1 78.7438 dtn1_6 ADB2 138 N dtn1_6->ADB2
128.2000 M68 1297770 1 11.3616 dtn1_6 ADB2 139 N dtn1_6->ADB2
133.9000 M38 1417990 1 70.5533 dtn1_6 ADB2 138 N dtn1_6->ADB2
144.1000 M51 2542038 1 52.0491 dtn1_6 ADB2 139 N dtn1_6->ADB2
150.3000 M19 1530271 2 114.6923 dtn1_7 ADB2 138 N dtn1_7->dtn1_6->ADB2
154.7000 M12 1087686 2 126.7826 dtn1_7 ADB2 137 N dtn1_7->dtn1_6->ADB2
162.7000 M81 1975369 1 11.4219 dtn1_6 ADB2 139 N dtn1_6->ADB2
173.7000 M78 2749524 1 24.8172 dtn1_6 ADB2 139 N dtn1_6->ADB2
180.6000 M79 1720977 1 31.1325 dtn1_6 ADB2 139 N dtn1_6->ADB2
187.6000 M30 1733640 1 136.0594 dtn1_6 ADB2 137 N dtn1_6->ADB2
195.0000 M86 1826254 1 38.1476 dtn1_6 ADB2 139 N dtn1_6->ADB2
206.7000 M100 2916248 1 17.5977 dtn1_6 ADB2 139 N dtn1_6->ADB2
207.7000 M71 2284336 4 71.4185 dtn2_12 ADB2 138 N dtn2_12->ADB3->WIFI_5->WIFI_4->ADB2
208.6000 M53 2183464 4 111.8033 dtn2_11 ADB2 138 N dtn2_11->ADB3->WIFI_5->WIFI_4->ADB2
216.8000 M65 2037079 2 106.5156 dtn1_9 ADB2 138 N dtn1_9->dtn1_10->ADB2
223.8000 M44 1729461 1 148.5124 dtn1_10 ADB2 137 N dtn1_10->ADB2
235.3000 M48 2112761 2 152.1387 dtn1_10 ADB2 137 N dtn1_10->dtn1_9->ADB2
242.4000 M95 1769870 2 60.8465 dtn1_10 ADB2 138 N dtn1_10->dtn1_9->ADB2
251.3000 M89 2216229 2 89.2837 dtn1_10 ADB2 138 N dtn1_10->dtn1_9->ADB2
259.6000 M96 2066893 1 76.4400 dtn1_9 ADB2 138 N dtn1_9->ADB2
266.5000 M36 1707738 2 205.3110 dtn1_10 ADB2 136 N dtn1_10->dtn1_9->ADB2
273.3000 M40 1678625 2 204.9488 dtn1_10 ADB2 136 N dtn1_10->dtn1_9->ADB2
280.8000 M116 1870121 1 63.1955 dtn1_9 ADB2 138 N dtn1_9->ADB2
286.7000 M73 1468340 2 147.6313 dtn1_10 ADB2 137 N dtn1_10->dtn1_9->ADB2
296.6000 M31 2464884 2 244.0859 dtn1_10 ADB2 135 N dtn1_10->dtn1_9->ADB2
305.9000 M150 2322553 1 25.8333 dtn1_9 ADB2 139 N dtn1_9->ADB2
310.3000 M143 1251567 4 54.5460 dtn2_11 ADB2 139 N dtn2_11->ADB3->WIFI_5->WIFI_4->ADB2
310.9000 M130 1311974 4 70.4604 dtn2_11 ADB2 138 N dtn2_11->ADB3->WIFI_5->WIFI_4->ADB2
311.4000 M144 1064851 4 55.1070 dtn2_11 ADB2 139 N dtn2_11->ADB3->WIFI_5->WIFI_4->ADB2
316.2720 M74 1183682 2 173.6005 dtn1_7 ADB2 137 N dtn1_7->dtn1_8->ADB2
322.8000 M107 1626408 1 121.0138 dtn1_8 ADB2 137 N dtn1_8->ADB2
332.7000 M34 2472383 2 272.3016 dtn1_7 ADB2 135 N dtn1_7->dtn1_8->ADB2
344.3000 M132 2899694 1 102.7475 dtn1_8 ADB2 138 N dtn1_8->ADB2
353.7000 M135 2327479 1 108.3079 dtn1_8 ADB2 138 N dtn1_8->ADB2
365.0000 M129 2802760 1 124.9563 dtn1_8 ADB2 137 N dtn1_8->ADB2
376.9000 M155 2972891 1 91.7661 dtn1_8 ADB2 138 N dtn1_8->ADB2
383.2000 M127 1563385 1 152.2723 dtn1_8 ADB2 137 N dtn1_8->ADB2
394.6000 M85 2846462 1 241.7436 dtn1_8 ADB2 135 N dtn1_8->ADB2
404.0000 M161 2348451 1 113.4756 dtn1_8 ADB2 138 N dtn1_8->ADB2
411.7000 M137 1906766 1 162.7464 dtn1_8 ADB2 137 N dtn1_8->ADB2
415.9000 M188 1027788 1 56.6771 dtn1_8 ADB2 139 N dtn1_8->ADB2
422.5000 M87 1628836 1 265.2809 dtn1_8 ADB2 135 N dtn1_8->ADB2
430.4000 M42 1963752 2 358.7025 dtn1_7 ADB2 134 N dtn1_7->dtn1_8->ADB2
439.0000 M91 2149807 1 263.5835 dtn1_8 ADB2 135 N dtn1_8->ADB2
449.3000 M215 2568421 1 38.4431 dtn1_8 ADB2 139 N dtn1_8->ADB2
460.0000 M163 2656381 1 165.8267 dtn1_8 ADB2 137 N dtn1_8->ADB2
467.6000 M27 1885202 2 422.7042 dtn1_7 ADB2 132 N dtn1_7->dtn1_8->ADB2
475.7000 M229 2015476 1 39.8517 dtn1_8 ADB2 139 N dtn1_8->ADB2
481.1000 M170 1337760 1 162.1068 dtn1_8 ADB2 137 N dtn1_8->ADB2
490.0000 M243 2206440 1 22.1972 dtn1_8 ADB2 139 N dtn1_8->ADB2
499.8000 M217 2431603 1 81.0664 dtn1_8 ADB2 138 N dtn1_8->ADB2
